Period,Fund name,ABN,RSE Regulatory classification,Fund type,RSE Membership base,Fund's RSE licensee,RSE licensee ownership type,RSE licensee profit status,RSE licensee board structure,RSE Balance date,Duration,RSE Wind up date,Total assets,Proportion of benefits which are defined benefits,Number of investment options,Number of MySuper products authorised,Proportion of total assets in default or MySuper strategy,Net members' benefits outflow ratio,Investment expenses ratio,Operating expense ratio,"One-year
rate of return","Five-year
rate of return","Ten-year
rate of return",Total number of member accounts,Total members' benefits,Average member account balance,Growth in number of member accounts
30/06/2022,Alcoa of Australia Retirement Plan,80928800255,Non public offer,Corporate,Corporate base,Alcoa of Australia Retirement Plan Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"2,172,137",23%,9,,0%,264.3%,0.2%,0.2%,-2.0%,5.0%,7.2%,"5,224","2,124,186",407,-2%
30/06/2022,AMG Super,30099320583,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,553,647",0%,800,1,10%,56.2%,0.0%,0.6%,-7.2%,4.0%,5.3%,"14,955","1,534,284",103,-4%
30/06/2022,AMP Super Fund,78421957449,Public offer,Retail,General base,N. M. Superannuation Proprietary Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"55,838,175",2%,112,5,38%,217.9%,0.4%,0.3%,-5.4%,6.0%,6.3%,"743,911","54,650,453",73,-13%
30/06/2022,Aracon Superannuation Fund,40586548205,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"595,099",0%,22,,0%,39.2%,0.1%,0.2%,-6.8%,3.2%,5.2%,"2,865","591,685",207,40%
30/06/2022,ASGARD Independence Plan Division Two,90194410365,Public offer,Retail,General base,BT Funds Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"16,839,656",0%,"2,068",,0%,581.1%,0.1%,0.8%,-5.6%,4.4%,6.0%,"94,715","16,706,625",176,-41%
30/06/2022,Australian Catholic Superannuation and Retirement Fund,24680629023,Public offer,Industry,Industry base,SCS Super Pty. Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"10,222,017",0%,42,1,49%,178.5%,0.1%,0.3%,-1.3%,5.4%,6.7%,"84,623","10,033,436",119,-5%
30/06/2022,Australian Defence Force Superannuation Scheme,90302247344,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"1,112,831",0%,4,1,85%,7.8%,0.0%,0.3%,-4.6%,5.1%,,"30,011","1,083,546",36,13%
30/06/2022,Australian Ethical Retail Superannuation Fund,49633667743,Public offer,Retail,General base,Australian Ethical Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"4,299,189",0%,14,1,52%,19.3%,0.8%,0.4%,-8.5%,5.6%,7.8%,"71,496","4,234,331",59,15%
30/06/2022,Australian Meat Industry Superannuation Trust,28342064803,Public offer,Industry,Industry base,Australian Meat Industry Superannuation Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"2,563,097",0%,8,1,82%,72.8%,0.1%,0.4%,-1.1%,5.5%,7.3%,"62,719","2,527,460",40,3%
30/06/2022,Australian Retirement Trust,60905115063,Public offer,Industry,General base,Australian Retirement Trust Pty Ltd,Other ownership type,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"247,360,562",11%,44,2,44%,6.3%,0.2%,0.2%,-4.7%,4.7%,7.1%,"2,216,337","224,180,291",101,258%
30/06/2022,AustralianSuper,65714394898,Public offer,Industry,General base,AustralianSuper Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"271,748,380",0%,11,1,64%,21.8%,0.3%,0.2%,-3.6%,6.6%,8.6%,"2,876,270","257,951,557",90,17%
30/06/2022,Avanteos Superannuation Trust,38876896681,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"11,010,492",0%,"1,800",,0%,79.9%,0.0%,0.3%,-6.8%,3.8%,5.5%,"33,795","10,981,874",325,4%
30/06/2022,AvSuper Fund,84421446069,Public offer,Public Sector,Corporate base,AvSuper Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"2,414,499",23%,19,1,29%,438.3%,0.6%,0.2%,-3.7%,4.2%,6.8%,"5,860","2,086,059",356,-13%
30/06/2022,AvWrap Retirement Service,82004832237,Public offer,Retail,General base,I.O.O.F. Investment Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"424,832",0%,997,,0%,24.5%,0.0%,0.4%,-8.1%,3.0%,5.3%,"1,211","422,445",349,17%
30/06/2022,Aware Super,53226460365,Public offer,Public Sector,Government base,Aware Super Pty Ltd,Other ownership type,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"150,695,306",1%,54,2,52%,70.5%,0.3%,0.2%,-3.8%,5.3%,7.4%,"1,154,674","145,051,168",126,3%
30/06/2022,Building Unions Superannuation Scheme (Queensland),85571332201,Public offer,Industry,Industry base,BUSS (Queensland) Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"5,577,795",0%,30,1,71%,85.2%,0.0%,0.3%,-5.3%,5.2%,8.0%,"69,617","5,518,584",79,1%
30/06/2022,Care Super,98172275725,Public offer,Industry,Industry base,CARE Super Pty Ltd,Financial services corporation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"19,796,808",0%,25,1,69%,81.7%,0.4%,0.4%,-1.9%,5.8%,8.1%,"219,382","18,910,889",86,-1%
30/06/2022,Centric Super Fund,91593544166,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,Challenger Retirement Fund,87883998803,Public offer,Retail,General base,Challenger Retirement and Investment Services Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"429,751",0%,9,,0%,272.2%,0.0%,0.0%,-3.4%,1.3%,3.0%,"2,867","441,164",154,-9%
30/06/2022,Christian Super,66628776348,Public offer,Industry,Industry base,Christian Super Pty Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"2,045,130",0%,15,1,56%,118.2%,0.2%,0.5%,-0.7%,5.5%,7.0%,"30,274","1,926,111",64,1%
30/06/2022,ClearView Retirement Plan,45828721007,Public offer,Retail,General base,ClearView Life Nominees Pty Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"2,069,641",0%,502,,0%,140.1%,0.0%,0.1%,-7.1%,2.2%,4.8%,"13,302","2,064,945",155,-2%
30/06/2022,Colonial First State FirstChoice Superannuation Trust,26458298557,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"82,993,523",0%,719,1,12%,97.1%,0.0%,0.0%,-7.2%,3.9%,6.0%,"671,134","82,952,162",124,0%
30/06/2022,Colonial First State Rollover & Superannuation Fund,88854638840,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,CommInsure Corporate Insurance Superannuation Trust,49968181565,Public offer,Retail,Corporate base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,538",,0,,0%,165.2%,,,,,,"5,590",0,0,-30%
30/06/2022,Commonwealth Bank Group Super,24248426878,Non public offer,Corporate,Corporate base,Commonwealth Bank Officers Superannuation Corporation Pty Limited,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"12,415,984",23%,19,1,48%,264.1%,0.5%,0.2%,-5.2%,4.2%,6.3%,"67,734","11,607,007",171,-5%
30/06/2022,Commonwealth Essential Super,56601925435,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"3,763,135",0%,16,1,90%,73.5%,0.0%,0.2%,-7.3%,3.8%,,"131,125","3,761,508",29,-13%
30/06/2022,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262,Public offer,Industry,Industry base,United Super Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"72,551,869",0%,35,1,79%,22.6%,0.4%,0.3%,-4.5%,6.1%,8.5%,"870,111","69,560,253",80,12%
30/06/2022,Crescent Wealth Superannuation Fund,71302958449,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"361,262",0%,3,,0%,33.9%,0.1%,1.1%,0.0%,3.6%,,"12,373","343,266",28,14%
30/06/2022,Crown Employees (NSW Fire Brigades Firefighting Staff Death & Disability) Superannuation Fund,60532453567,Non public offer,Public Sector,Government base,NSW Fire Brigades Superannuation Pty Limited,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"3,680",,0,,0%,91.4%,,,,,,"6,850",0,0,0%
30/06/2022,CSS Fund,19415776361,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"61,706,811",100%,2,,0%,108.8%,0.0%,0.0%,-17.9%,5.9%,7.5%,"102,565","61,697,969",602,-3%
30/06/2022,Definitive Superannuation Plan,47412936330,Public offer,Retail,General base,Macquarie Investment Management Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,575,0%,1,,0%,10362.3%,0.1%,0.4%,-1.0%,5.1%,6.3%,123,575,5,-26%
30/06/2022,DIY Master Plan,46074281314,Public offer,Retail,General base,Diversa Trustees Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,076,639",0%,709,,0%,31.5%,0.2%,0.6%,-8.6%,2.5%,,"8,777","1,072,041",122,24%
30/06/2022,DPM Retirement Service,40725722496,Public offer,Retail,General base,Nulis Nominees (Australia) Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"47,178",0%,645,,0%,605.7%,0.0%,0.4%,-3.4%,4.4%,5.7%,284,"45,908",162,-7%
30/06/2022,Encircle Superannuation Fund,68486630403,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"2,747,525",0%,265,,0%,92.1%,0.0%,0.2%,-6.1%,4.1%,5.5%,"7,612","2,740,697",360,5%
30/06/2022,Energy Industries Superannuation Scheme-Pool A,22277243559,Public offer,Public Sector,Industry base,Energy Industries Superannuation Scheme Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"3,634,790",0%,10,1,27%,292.0%,0.2%,0.4%,-6.6%,3.4%,5.5%,"16,904","3,591,525",212,-9%
30/06/2022,Energy Industries Superannuation Scheme-Pool B,64322090181,Non public offer,Public Sector,Industry base,Energy Industries Superannuation Scheme Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30/06/2022,equipsuper,33813823017,Public offer,Industry,General base,Togethr Trustees Pty Ltd,Other ownership type,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"44,726,318",5%,40,2,26%,80.4%,0.3%,0.2%,-4.3%,4.8%,7.2%,"150,117","28,853,473",192,1%
30/06/2022,Fiducian Superannuation Fund,57929339093,Public offer,Retail,General base,Fiducian Portfolio Services Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2022,12,,"1,908,398",0%,112,,0%,46.3%,0.0%,0.7%,-11.4%,4.0%,6.7%,"7,601","1,898,179",250,7%
30/06/2022,Fire and Emergency Services Superannuation Fund,43198502058,Non public offer,Public Sector,Government base,Fire and Emergency Services Superannuation Board,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2022,12,,"846,723",47%,7,,0%,93.4%,0.1%,0.4%,-1.9%,5.1%,6.8%,"2,506","745,821",298,2%
30/06/2022,First Super,56286625181,Public offer,Industry,Industry base,First Super Pty Limited,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2022,12,,"3,653,497",0%,10,1,83%,76.7%,0.1%,0.4%,0.5%,5.8%,7.8%,"47,087","3,572,958",76,2%
