Period,Fund name,ABN,RSE Regulatory classification,Fund type,RSE Membership base,Fund's RSE licensee,RSE licensee ownership type,RSE licensee profit status,RSE licensee board structure,RSE Balance date,Duration,RSE Wind up date,Total assets,Proportion of benefits which are defined benefits,Number of investment options*,Number of MySuper products authorised*,Proportion of total assets in default or MySuper strategy,Net members' benefits outflow ratio,Investment expenses ratio,Operating expense ratio,"One-year
rate of return","Five-year
rate of return","Ten-year
rate of return",Total number of member accounts,Total members' benefits,Average member account balance,Growth in number of member accounts
30/06/2023,Alcoa of Australia Retirement Plan,80928800255,Non public offer,Corporate,Corporate base,Alcoa of Australia Retirement Plan Pty Ltd,Employer sponsor (non-public sector) ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"2,110,195",23%,,,0%,396.9%,0.2%,0.2%,8.6%,5.1%,6.6%,"4,841","2,035,444",420,-7%
30/06/2023,AMG Super,30099320583,Public offer,Retail,General base,Equity Trustees Superannuation Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"2,103,051",0%,,,7%,31.9%,0.0%,0.6%,8.0%,4.3%,4.9%,"24,686","2,078,099",84,65%
30/06/2023,AMP Super Fund,78421957449,Public offer,Retail,General base,N. M. Superannuation Proprietary Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"56,173,969",2%,,,40%,196.2%,0.4%,0.4%,8.8%,6.4%,5.9%,"686,575","55,508,614",81,-8%
30/06/2023,ASGARD Independence Plan Division Two,90194410365,Public offer,Retail,General base,BT Funds Management Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"67,232,740",0%,,,0%,8.7%,0.1%,0.2%,5.4%,4.0%,5.2%,"279,925","67,049,163",240,196%
30/06/2023,Australian Defence Force Superannuation Scheme,90302247344,Non public offer,Public Sector,Government base,Commonwealth Superannuation Corporation,Public sector organisation ownership,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"1,569,612",0%,,,84%,8.4%,0.0%,0.2%,8.8%,5.3%,,"33,973","1,526,068",45,13%
30/06/2023,Australian Ethical Retail Superannuation Fund,49633667743,Public offer,Retail,General base,Australian Ethical Superannuation Pty Ltd,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"7,481,921",0%,,,56%,11.9%,0.8%,0.3%,9.9%,6.1%,7.5%,"123,232","7,208,751",58,72%
30/06/2023,Australian Meat Industry Superannuation Trust,28342064803,Public offer,Industry,Industry base,Australian Meat Industry Superannuation Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"2,927,553",0%,,,82%,70.1%,0.1%,0.3%,11.1%,6.0%,7.2%,"65,945","2,872,592",44,5%
30/06/2023,Australian Retirement Trust,60905115063,Public offer,Industry,General base,Australian Retirement Trust Pty Ltd,Other ownership type,Not for profit status,Equal representation required by legislation,30/06/2023,12,,"264,427,524",10%,,,46%,59.6%,0.2%,0.3%,7.6%,4.8%,6.6%,"2,334,304","247,229,946",106,5%
30/06/2023,AustralianSuper,65714394898,Public offer,Industry,General base,AustralianSuper Pty Ltd,Nominating organisation ownership,Not for profit status,Equal representation required by governing rules,30/06/2023,12,,"311,497,761",0%,,,65%,39.1%,0.3%,0.2%,8.2%,6.1%,8.0%,"3,255,344","299,087,835",92,13%
30/06/2023,Avanteos Superannuation Trust,38876896681,Public offer,Retail,General base,Avanteos Investments Limited,Financial services corporation ownership,For profit status,Non equal representation,30/06/2023,12,,"11,900,901",0%,,,0%,101.2%,0.0%,0.4%,8.2%,4.1%,5.2%,"34,120","11,856,654",347,1%
